Successfully applied 332 fixes

[16] Supreme Deity (Full Power) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Devil Hulk severely outstats and overwhelms with strength
[1490] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Kakashi vastly outscales and possesses spatial duraneg.
[1491] Krillin (Super Hero Arc / Destructo Disc) vs Asta (Perfect Devil Union / Zetten) | 0.0 -> 1.0 | Krillin massively outscales Asta in speed and AP.
[1504] Naruto Uzumaki (Baryon Mode) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Naruto massively outscales in physicals and blitzes.
[1513] Toji Fushiguro (Peak Form) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya significantly outscales Toji in speed and AP.
[1524] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Obito Uchiha (Jubi Jinchuriki) | 0.0 -> 1.0 | DMS Kakashi is vastly faster with spatial duraneg.
[1528] Megumi Fushiguro (Mahoraga) vs Katsuki Bakugo (Cluster / Plus Ultra) | 1.0 -> 0.0 | Bakugo outscales heavily and vaporizes Mahoraga completely.
[1531] Shoto Todoroki (Flashfreeze Heatwave) vs Hisoka Morow (Ryu and Ko) | 0.0 -> 1.0 | Shoto vastly outscales Hisoka in destructive capability.
[1532] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Midoriya massively outscales Homelander in speed and AP.
[1534] King (Full Wings / Form One) vs Zeldris (3rd Demon Mark) | 0.0 -> 1.0 | King canonically overpowered Zeldris in this exact form.
[1543] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs King (Full Wings / Form One) | 0.0 -> 1.0 | Madara's Limbo clones and Truth-Seeking Orbs overwhelm.
[1558] Gon Freecss (Ryu and Ko) vs Feitan Portor (Pain Packer) | 1.0 -> 0.0 | Feitan outstats base Gon in speed and abilities.
[1567] Mahito (True form) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Mahito's domain targets the unprotected soul perfectly.
[1590] Yuno (Spirit of Zephyr / Spirit Dive) vs Lucifero (True Form) | 0.0 -> 1.0 | Yuno outscales currently and possesses spatial destruction.
[1612] Shoto Todoroki (Flashfreeze Heatwave) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Shoto outscales immensely; flash-freeze bypasses Pain Packer
[1614] King (Full Wings / Form One) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | King outstats and has massive versatility advantage
[1615] Megumi Fushiguro (Mahoraga) vs Muzan (True Form) | 0.0 -> 1.0 | Mahoraga severely outstats and adapts to Muzan's biology
[1616] Ryomen Sukuna (True Form / Full Power) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya massively outstats in speed and AP
[1623] Kaguya Otsutsuki (Truth Seeker Orbs) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Kaguya outhaxes, regenerates, and one-shots with Ash Bones
[1628] Gowther (Emotions Restored) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Gowther instantly incapacitates Allen with mind manipulation
[1648] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Midoriya massively outstats Meruem in speed and AP
[1650] Ryomen Sukuna (True Form / Full Power) vs Star and Stripe (New Order Active) | 1.0 -> 0.0 | Star outstats and reality-warps Sukuna instantly
[1656] Adult Gon (Adult Form) vs Hisoka Morow (Ryu and Ko) | 0.0 -> 1.0 | Adult Gon massively outstats and blitzes Hisoka instantly
[1657] Nanami Kento (Shibuya Incident Peak) vs All Might (Prime) | 1.0 -> 0.0 | All Might completely outstats Nanami in all categories
[1659] Star and Stripe (New Order Active) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Star outstats heavily and reality-warps Meruem instantly
[1660] Estarossa (Post-Commandment Absorption) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Estarossa outstats and completely counters physical attacks
[1663] Ryomen Sukuna (True Form / Full Power) vs Yami Sukehiro (Death Thrust / Final War) | 1.0 -> 0.0 | Yami speed-blitzes and one-shots with Death Thrust
[1671] Geto Suguru (Curse Manipulation / Adult) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Geto overwhelms with sheer volume of superior curses
[1672] Piccolo (Orange Form / Super Hero Arc) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Piccolo effortlessly speed-blitzes and one-shots Merlin
[1682] Obito Uchiha (Jubi Jinchuriki) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Obito outstats and Truth-Seeking Orbs nullify magic
[1683] Gon Freecss (Ryu and Ko) vs Killua Zoldyck (Godspeed) | 1.0 -> 0.0 | Godspeed Killua vastly outspeeds and blitzes standard Gon
[1685] Piccolo (Orange Form / Super Hero Arc) vs Future Trunks (Sword of Hope / Zamasu Fight) | 0.0 -> 1.0 | Super Hero scaling puts Piccolo far above Trunks
[1692] Future Trunks (Sword of Hope / Zamasu Fight) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Trunks massively outstats Escanor in all categories
[1700] Ryomen Sukuna (True Form / Full Power) vs Yuno (Spirit of Zephyr / Spirit Dive) | 1.0 -> 0.0 | Yuno overwhelmingly speed-blitzes and outstats Sukuna
[1703] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Killua Zoldyck (Godspeed) | 0.0 -> 1.0 | Midoriya possesses vastly superior speed and attack potency
[1704] Krillin (Super Hero Arc / Destructo Disc) vs Julius Novachrono (Wizard King Peak) | 0.0 -> 1.0 | Krillin massively outstats and blitzes before hax activation
[1707] Tomura Shigaraki (Post-Surgery / Complete) vs Star and Stripe (New Order Active) | 0.0 -> 1.0 | Shigaraki canonically defeated her by surviving New Order
[1713] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Star and Stripe (New Order Active) | 1.0 -> 0.0 | Star effortlessly reality-warps and outstats Yuji
[1714] Nanami Kento (Shibuya Incident Peak) vs Kurapika (Yorknew City Arc / Emperor Time) | 1.0 -> 0.0 | Kurapika outstats and possesses vastly superior combat versatility
[1730] Satoru Gojo (Shinjuku Showdown Arc) vs Julius Novachrono (Wizard King Peak) | 1.0 -> 0.0 | Time magic bypasses Infinity and Julius speed-blitzes
[1733] Yuno (Spirit of Zephyr / Spirit Dive) vs Julius Novachrono (Wizard King Peak) | 0.0 -> 1.0 | Current Yuno vastly outscales and outspeeds Julius
[1734] Obito Uchiha (Jubi Jinchuriki) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Obito massively outstats Meruem in all categories
[1738] Star and Stripe (New Order Active) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Star's reality manipulation instantly defeats Diane
[1747] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) | 0.0 -> 1.0 | DMS Kakashi vastly outspeeds and durability-negates Madara
[1751] Asta (Perfect Devil Union / Zetten) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Asta vastly outspeeds and outstats Escanor
[1752] King (Full Wings / Form One) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | King outstats and can defeat Gowther from range
[1754] Piccolo (Orange Form / Super Hero Arc) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Piccolo massively outstats the Supreme Deity
[1764] Noelle Silva (Saint Valkyrie / Spirit Dive) vs Kurapika (Yorknew City Arc / Emperor Time) | 0.0 -> 1.0 | Noelle overwhelmingly outstats and speed-blitzes Kurapika
[1765] Geto Suguru (Curse Manipulation / Adult) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | Geto outstats standard Gon with superior curses
[1767] Tomura Shigaraki (Post-Surgery / Complete) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Shigaraki's decay aura outranges and kills Gowther (LC)
[1774] Julius Novachrono (Wizard King Peak) vs Battle Beast (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Julius's time magic ignores durability and instantly ages
[1775] Satoru Gojo (Shinjuku Showdown Arc) vs Lucifero (True Form) | 1.0 -> 0.0 | Lucifero's spatial gravity magic completely bypasses Infinity
[1779] Satoru Gojo (Shinjuku Showdown Arc) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Meruem cannot bypass Infinity; Gojo completely outhaxes
[1780] Cell (Perfect Form) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Devil Hulk vastly outscales Cell in all stats
[1782] Might Guy (Eight Gates) vs Hashirama Senju (Sage Mode / War Arc) | 0.0 -> 1.0 | Eight Gates Guy possesses massively superior speed
[1784] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | DMS Kakashi speed-blitzes and completely ignores durability
[1786] Future Trunks (Sword of Hope / Zamasu Fight) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Devil Hulk vastly outscales Trunks in sheer stats
[1788] Naruto Uzumaki (Baryon Mode) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Baryon Mode outstats and directly drains lifeforce
[1791] All For One (Rewind Drug / Omni-Factor) vs Kurapika (Yorknew City Arc / Emperor Time) | 0.0 -> 1.0 | All For One vastly outstats Kurapika
[1796] Naruto Uzumaki (Baryon Mode) vs Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) | 1.0 -> 0.0 | Intangibility and Kamui perfectly counter Baryon Mode (LC)
[1804] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs All For One (Rewind Drug / Omni-Factor) | 0.0 -> 1.0 | Deku significantly outstats and blitzes with Gearshift
[1808] Asta (Perfect Devil Union / Zetten) vs Lucifero (True Form) | 0.0 -> 1.0 | Asta significantly outscales with Zetten and Anti-Magic
[1817] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Meliodas (True Magic Form) | 0.0 -> 1.0 | Kamui space-time erasure bypasses superior stats. (LC)
[1826] Katsuki Bakugo (Cluster / Plus Ultra) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Bakugo massively outscales in speed and AP
[1834] Obito Uchiha (Jubi Jinchuriki) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Truth-Seeking Orbs provide durability negation. (LC)
[1843] Diane (Post-Training / Gideon) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Diane massively outscales in stats and AP
[1846] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs All Might (Prime) | 0.0 -> 1.0 | Gearshift Midoriya canonically surpasses Prime All Might
[1848] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Itachi Uchiha (Edo Tensei) | 1.0 -> 0.0 | Itachi outhaxes with Genjutsu and Totsuka Blade
[1857] Muzan (True Form) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | Muzan outspeeds, regenerates, and lands lethal poison
[1866] Nanami Kento (Shibuya Incident Peak) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya massively outscales in speed and AP
[1869] Megumi Fushiguro (Mahoraga) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya obliterates Mahoraga instantly before adaptation occurs
[1876] Obito Uchiha (Jubi Jinchuriki) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Hulk massively outscales in stats and regeneration
[1879] Meruem (Post-Rose / Great King) vs King (Full Wings / Form One) | 1.0 -> 0.0 | King massively outscales in AP and speed
[1883] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Might Guy (Eight Gates) | 1.0 -> 0.0 | Might Guy massively outscales in speed, AP
[1884] All For One (Rewind Drug / Omni-Factor) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | All For One massively outscales in stats
[1889] Kaguya Otsutsuki (Truth Seeker Orbs) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Kaguya's immortality and one-shot hax win. (LC)
[1910] All For One (Rewind Drug / Omni-Factor) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | All For One massively outscales in stats
[1912] Kaguya Otsutsuki (Truth Seeker Orbs) vs Asta (Perfect Devil Union / Zetten) | 0.0 -> 1.0 | Kaguya's immortality and regeneration outlast Asta's attacks
[1917] Future Trunks (Sword of Hope / Zamasu Fight) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Trunks massively outscales in speed and AP
[1926] Asta (Perfect Devil Union / Zetten) vs Julius Novachrono (Wizard King Peak) | 0.0 -> 1.0 | Anti-Magic canonically counters Time Magic. (LC)
[1959] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Kamui space-time erasure bypasses shields and regeneration
[1972] Piccolo (Orange Form / Super Hero Arc) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Piccolo massively outscales in speed and AP
[1974] Katsuki Bakugo (Cluster / Plus Ultra) vs Hisoka Morow (Ryu and Ko) | 0.0 -> 1.0 | Bakugo massively outscales in speed and AP
[1976] Ryomen Sukuna (True Form / Full Power) vs Diane (Post-Training / Gideon) | 1.0 -> 0.0 | Diane outscales in speed and AP. (LC)
[1980] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Kamui space-time erasure bypasses durability and stats
[1992] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Madara massively outscales in stats and hax
[1994] King (Full Wings / Form One) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Full Wings King canonically massively outscales Diane
[2000] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Kamui blitz and durability negation bypasses her defenses.
[2001] Future Trunks (Sword of Hope / Zamasu Fight) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Massive speed and AP advantage allows easy blitz.
[2005] Mahito (True form) vs Adult Gon (Adult Form) | 0.0 -> 1.0 | Soul manipulation and physical immunity counter pure brawling.
[2012] Meruem (Post-Rose / Great King) vs Battle Beast (Final Battle Peak (Comics)) | 1.0 -> 0.0 | Vastly superior stats and combat speed overwhelm Meruem.
[2020] Itachi Uchiha (Edo Tensei) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Edo immortality and Totsuka Blade sealing secure victory.
[2029] Ryomen Sukuna (True Form / Full Power) vs Itachi Uchiha (Edo Tensei) | 1.0 -> 0.0 | Edo regeneration counters physical attacks; Totsuka blade seals.
[2032] Star and Stripe (New Order Active) vs Julius Novachrono (Wizard King Peak) | 1.0 -> 0.0 | Time magic blitz and chronostasis bypass her rules.
[2048] Shoto Todoroki (Flashfreeze Heatwave) vs Kurapika (Yorknew City Arc / Emperor Time) | 0.0 -> 1.0 | Overwhelming area of effect elemental damage prevents approach.
[2052] Sasuke Uchiha (New Era / Susano'o) vs Obito Uchiha (Jubi Jinchuriki) | 0.0 -> 1.0 | Adult era stats vastly surpass Shippuden era opponents.
[2056] Julius Novachrono (Wizard King Peak) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Precognition, time stopping, and aging hax secure victory.
[2066] Asta (Perfect Devil Union / Zetten) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Anti-magic completely negates her entire offensive toolkit.
[2067] Katsuki Bakugo (Cluster / Plus Ultra) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Massively outscales in combat speed and explosive firepower.
[2072] Yuno (Spirit of Zephyr / Spirit Dive) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Extreme speed advantage and conceptual durability negation.
[2079] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Intangibility negates damage; Kamui severely ignores physical durability.
[2081] Kaguya Otsutsuki (Truth Seeker Orbs) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Truth-seeker orbs and dimension shifting out-hax sheer brawling.
[2082] Naruto Uzumaki (Baryon Mode) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Vastly superior combat speed and raw physical power.
[2091] Yami Sukehiro (Death Thrust / Final War) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Dimension Slash completely ignores durability and guarantees kill.
[2101] Krillin (Super Hero Arc / Destructo Disc) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Massively outscales in attack potency and combat speed.
[2102] Nanami Kento (Shibuya Incident Peak) vs Killua Zoldyck (Godspeed) | 1.0 -> 0.0 | Godspeed grants overwhelming speed advantage to assassinate.
[2107] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Megumi Fushiguro (Mahoraga) | 1.0 -> 0.0 | Lacks the necessary area damage to one-shot Mahoraga.
[2109] All Might (Prime) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Speed blitz and overwhelming physicals bypass Pain Packer.
[2118] Yuno (Spirit of Zephyr / Spirit Dive) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Extreme speed advantage and conceptual anti-magic weaponry.
[2130] Future Trunks (Sword of Hope / Zamasu Fight) vs Zeldris (3rd Demon Mark) | 0.0 -> 1.0 | Vastly superior stats and combat speed allow blitz.
[2135] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Genjutsu and Truth-Seeker Orbs easily bypass brawling durability.
[2139] Yuno (Spirit of Zephyr / Spirit Dive) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Massive speed advantage allows blitzing before mind manipulation.
[2143] Mahito (True form) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Physical immunity and soul manipulation counter pure brawling.
[2151] Julius Novachrono (Wizard King Peak) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Precognition, time stopping, and aging hax secure victory.
[2154] Katsuki Bakugo (Cluster / Plus Ultra) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | Vastly superior combat speed and explosive area damage.
[2156] Hashirama Senju (Sage Mode / War Arc) vs Noelle Silva (Saint Valkyrie / Spirit Dive) | 1.0 -> 0.0 | Overwhelming speed advantage and vast elemental area damage.
[2160] Sasuke Uchiha (New Era / Susano'o) vs Hashirama Senju (Sage Mode / War Arc) | 0.0 -> 1.0 | Adult era scaling vastly surpasses Shippuden era combatants.
[2164] Future Trunks (Sword of Hope / Zamasu Fight) vs Yami Sukehiro (Death Thrust / Final War) | 0.0 -> 1.0 | Massively outscales in stats, easily blitzing and obliterating.
[2179] Geto Suguru (Curse Manipulation / Adult) vs Katsuki Bakugo (Cluster / Plus Ultra) | 1.0 -> 0.0 | Overwhelming speed and explosive firepower vaporize the combatant.
[2181] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Immortality and Truth-Seeker Orbs effortlessly outlast and erase.
[2184] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Immortality, regeneration, and Truth-Seeker Orbs overwhelm sheer brawling.
[2196] Gohan (Beast Form / Super Hero Arc) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Gohan outscales by astronomical margins in every category.
[2203] Katsuki Bakugo (Cluster / Plus Ultra) vs Shoto Todoroki (Flashfreeze Heatwave) | 0.0 -> 1.0 | Cluster Bakugo's speed edge overwhelms Shoto (LC)
[2207] Krillin (Super Hero Arc / Destructo Disc) vs Meliodas (True Magic Form) | 0.0 -> 1.0 | DBS Krillin vastly outstats in speed and AP
[2212] Gohan (Beast Form / Super Hero Arc) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Beast Gohan vastly outstats Meruem in all metrics
[2216] Cell (Perfect Form) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Cell's vastly higher AP and regen overwhelm Thragg
[2223] Ryomen Sukuna (True Form / Full Power) vs Noelle Silva (Saint Valkyrie / Spirit Dive) | 1.0 -> 0.0 | Noelle massively outstats in speed and AP
[2229] Sasuke Uchiha (New Era / Susano'o) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Adult Sasuke vastly outstats in AP and speed
[2234] Julius Novachrono (Wizard King Peak) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Julius vastly outspeeds and ages Escanor to dust
[2246] Noelle Silva (Saint Valkyrie / Spirit Dive) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Noelle's overwhelming speed blitzes before mind hax lands
[2248] Merlin (Infinity Active) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Hulk resists magic and vastly outstats Merlin
[2256] Obito Uchiha (Jubi Jinchuriki) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Truth Seeking Orbs erase Eve before blocks break
[2264] Gowther (Emotions Restored) vs Invincible (Post-Resurrections (Comics)) | 1.0 -> 0.0 | Invincible vastly outspeeds and one-shots Gowther
[2274] Zeldris (3rd Demon Mark) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Zeldris blitzes and decapitates Eve instantly
[2276] Shoto Todoroki (Flashfreeze Heatwave) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Shoto outscales in AP and freezes Homelander instantly
[2278] Megumi Fushiguro (Mahoraga) vs Mahito (True form) | 0.0 -> 1.0 | Mahoraga adapts and one-shots with positive energy sword
[2282] Ryomen Sukuna (True Form / Full Power) vs Hashirama Senju (Sage Mode / War Arc) | 1.0 -> 0.0 | Hashirama heavily outstats and suppresses Sukuna easily
[2287] Muzan (True Form) vs Katsuki Bakugo (Cluster / Plus Ultra) | 1.0 -> 0.0 | Bakugo vastly outspeeds and completely vaporizes Muzan
[2294] Might Guy (Eight Gates) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Guy's overwhelming speed and AP easily crush Diane
[2296] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Madara outstats heavily and Truth Seeking Orbs erase
[2300] Lucifero (True Form) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Lucifero massively outstats in speed and AP
[2301] Satoru Gojo (Shinjuku Showdown Arc) vs Yuno (Spirit of Zephyr / Spirit Dive) | 1.0 -> 0.0 | Yuno's immense speed and spatial cutting bypass Infinity
[2305] Yuno (Spirit of Zephyr / Spirit Dive) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Yuno massively outstats in speed and AP
[2307] Yuno (Spirit of Zephyr / Spirit Dive) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Yuno's immense speed easily blitzes Merlin
[2312] Itachi Uchiha (Edo Tensei) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Tsukuyomi incapacitates Eve mentally bypassing physical blocks
[2315] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Hisoka Morow (Ryu and Ko) | 0.0 -> 1.0 | Deku massively outstats Hisoka in all physical metrics
[2320] Geto Suguru (Curse Manipulation / Adult) vs Shoto Todoroki (Flashfreeze Heatwave) | 1.0 -> 0.0 | Shoto's massive AoE outstats and incinerates Geto's curses
[2321] Obito Uchiha (Jubi Jinchuriki) vs Yuno (Spirit of Zephyr / Spirit Dive) | 1.0 -> 0.0 | Yuno's immense speed and spatial magic outstat Obito
[2322] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Deku vastly outstats in speed and AP
[2325] Itachi Uchiha (Edo Tensei) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Homelander has no defense against instant Tsukuyomi hax
[2326] All For One (Rewind Drug / Omni-Factor) vs Noelle Silva (Saint Valkyrie / Spirit Dive) | 1.0 -> 0.0 | Noelle massively outspeeds and one-shots AFO
[2327] Krillin (Super Hero Arc / Destructo Disc) vs Battle Beast (Final Battle Peak (Comics)) | 0.0 -> 1.0 | DBS Krillin vastly outstats in AP and speed
[2344] Naruto Uzumaki (Baryon Mode) vs Yuno (Spirit of Zephyr / Spirit Dive) | 1.0 -> 0.0 | Yuno's speed outlasts Baryon Mode's short limit (LC)
[2345] Piccolo (Orange Form / Super Hero Arc) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Orange Piccolo vastly outstats in speed and AP
